geographicAreaM49,timePointYears,GDP
158,1981,78457.64359
158,1982,82225.30208
158,1983,89665.18413
158,1984,98664.73832
158,1985,103417.244
158,1986,115328.8539
158,1987,129964.2859
158,1988,140387.6208
158,1989,152680.5925
158,1990,161300.0732
158,1991,174770.7824
158,1992,189281.5317
158,1993,202146.3927
158,1994,217288.2674
158,1995,231433.1302
158,1996,245721.5122
158,1997,260728.6784
158,1998,271722.2277
158,1999,289971.7262
158,2000,308586.62
158,2001,304693.9781
158,2002,321690.4988
158,2003,334950.3688
158,2004,356742.9449
158,2005,376045.7971
158,2006,397178.8074
158,2007,423072.071
158,2008,426057.1619
158,2009,419399.6146
158,2010,463992.9784
158,2011,481623.0588
158,2012,491578.2224
158,2013,502384.8472
158,2014,522587.0434
158,2015,526328.8977
158,2016,534135.391
